levelNumber,level,unit,title,topic,cefr,writtenTask
1,Beginner,1,Greetings and introductions,Introducing yourself by email,A1,Write an email to your teacher to introduce yourself.
1,Beginner,2,Colours and numbers,Taking inventory in the office,A1,"Complete the email to your boss. Use the information below to help you. Dear Ms Thomas, There are 13 computers and 16 keyboards in the office. Also, there are…"
1,Beginner,3,Where are you from?,Writing an online profile,A1,Look at the online profile. Write your profile.
1,Beginner,4,Family,Describing your family in an email,A1,Read the email from a new pen-pal and reply to it with a similar one about your own family.
1,Beginner,5,Jobs,Updating your online profile,A1,"Write your profile. Include your name, age, where you're from, where you live and what you do."
1,Beginner,6,Describing people,Signing up for a dating website,A1,"You are looking at a dating website. Read the different profiles, then write your own."
1,Beginner,7,Clothing and dress,Writing labels for a clothing store,A1,What clothes do you like to wear? Write a description of your favorite clothes.
1,Beginner,8,Food and drink,Making a dinner party menu,A1,Write back to your friends and tell them what you plan to cook for them. Make sure everyone’s happy!
2,Beginner,1,Time and dates,Describing your favorite day,A1,"What's your favorite day of the week? What do you usually do on that day, and at what time? Write about your favorite day of the week below. Remember to include an introduction, middle and end to your writing."
2,Beginner,2,Birthdays,Writing a birthday invitation,A1,You decide you like the invitation so much you want to make one for your next birthday party. Write your own birthday invitation below.
2,Beginner,3,Weather and seasons,Writing a weather guide for your city,A1,You want to write a short weather and climate guide for visitors to your home town or the place where you live. Look at the examples of different cities then write a similar one of your own.
2,Beginner,4,Going shopping,Buying clothes from a catalog,A1,You've selected the items available and now are at the online check out. Send a text message to your friend to see if they want you to buy the items for them. The online catalog has...
2,Beginner,5,Around town,Making notes for a visitor,A1,A friend who doesn't speak your language will come to stay at your house. They have never been to your house. They will arrive before you are back from vacation. Leave a note explaining what there is in your area and in your town.
2,Beginner,6,Describing your house,Telling someone what you're doing,A1,"You receive a text message from a friend who wants to come round to your house. The trouble is, you're busy. Reply to the text message by writing about what you're doing. Hi Sue, Sorry, I'm busy. Right now I'm..."
2,Beginner,7,What can you do?,Writing a personal profile,A1,Use the three profiles in the reference as models to write your own profile.
2,Beginner,8,Activities and routines,Describing your family's eating habits,A1,Introduce yourself to the online teachers. Tell them about your family and their food habits.
3,Beginner,1,Meeting people,Replying to a new penpal,A1,You receive this email from a new online pen friend. Write an appropriate reply.
3,Beginner,2,What's the time?,Describing a friend's weekend routine,A1,Task 1: You want to write a feature on the daily routines of a friend for a local magazine. Listen to him describe his weekend routine. Take notes.
3,Beginner,3,Home and Family,Renovating your home,A1,Your room is finished. Send an email to a friend to describe the room. Start your email with the sentence below.
3,Beginner,4,Giving and folowing directions,Giving directions to a party at home,A1,Jane is lost and needs more directions to get to your house. Use the map to reply to her text message.
3,Beginner,5,Shopping for clothes,Giving suggestions about clothing,A1,"A friend sends you an email with a web link, wanting your opinion on which clothes she should buy. Look at the clothes and write back to her with suggestions. Use the phrases below. Why don't you buy... I think you should buy... The _ is nice... How about the _ ? The _ is expensive. The _ is cheap."
3,Beginner,6,Making plans,Writing your online profile,A1,Write your profile. Use the information below to help you.
3,Beginner,7,Shopping for food,Asking a friend to shop for you,A1,"Your friend is at the supermarket. Write a text message to ask her to buy the food you need. You can also offer to cook her dinner. Start your message like this: Hi, can you buy me..."
3,Beginner,8,Everyday objects,Choosing a birthday present,A1,You've received an email from your classmate about your teacher’s birthday. Answer the email. Use the information below to help you.
4,Elementary,1,What do you do?,Writing about what you do,A2,"Write about where you work, what you do, if you like your job and why / why not."
4,Elementary,2,Daily routines,Describing routines,A2,Now you are ready to write the letter to the housekeeper. Use the notes to write the letter. The notes also talk about your routine with your dog.
4,Elementary,3,Having a party,Writing a party invitation,A2,Now use the completed notes and write an email invitation.
4,Elementary,4,Sports and hobbies,Writing about what you like doing,A2,"Write an email reply to your friend and talk about the activities suggested. Say whether you can do them, like or don’t like them and whether or not you wish to do them for your birthday."
4,Elementary,5,What does she look like?,Writing a description of your family,A2,You're surfing the Internet and come across this page describing a person's family. Write a description of your own family below.
4,Elementary,6,Talking about past events,Writing an autobiography,A2,"Mark has just written a short autobiography. Write one for yourself, using his as a model."
4,Elementary,7,When I was young,Complaining about chores,A2,"Look at the list of chores. As you see, Julia didn't do very much this week. In fact, YOU did most of her chores! Write her an email telling her all the chores you did. Dear Julia, I'm very angry because I did most of the chores this week. Let me tell you what I did..."
4,Elementary,8,Welcoming visitors,Describing people in photos,A2,"You are writing an email to your grandmother with some photos of your recent holiday attached. Describe the three photos. Describe who the people are, what they look like, what they're wearing and what they're doing. Hi granny, How are you? Look at my photos..."
5,Elementary,1,Holidays and festivals,Planning to attend a music festival,A2,"You want to write an email to your family to tell them about the music festival you’re going to. Tell them about the date, the cost of a ticket, the equipment you’re taking and the music you want to listen to. Use future forms such as: ‘I’m going to go to a music festival’, ‘I’m taking a tent, T-shirt and shorts…’, ‘I’m going to listen to pop and dance music’ and ‘Maybe it’ll rain’."
5,Elementary,2,Weather and places,Writing a holiday postcard,A2,You are on holiday in California. Listen to the weather forecast and look at the information about Santa Monica. Write a postcard to your family about the weather and what you’re going to do today and tomorrow.
5,Elementary,3,Talking about animals,Labeling photos from a safari,A2,Reply to your friends questions. Write a short paragraph to describe the monkeys.
5,Elementary,4,Habits and routines,Giving instructions to a house-sitter,A2,"You have a house with many plants, birds, fish and two dogs. You are going on holiday for a week. Your friend will help you look after the pets and house. Write a description of your routine for the house sitter."
5,Elementary,5,What happened?,Filling out an insurance claim form,A2,"You’ve been robbed! Luckily, you have insurance. Fill out an insurance claim form. ABC Insurance How did you discover the crime?"
5,Elementary,6,How did you meet?,Summarizing a story,A2,Think of a book you want in the library. Look at the ideas. Write a summary for the databank. Look at the example first and copy the same structure.
5,Elementary,7,At the doctor's,Writing a sick note,A2,"You and your friend, Mike, missed a good friend's wedding. Mike lets you see the email he sent to explain his illness. Now write your own email to your friends."
5,Elementary,8,Small talk,Giving cultural tips to a visitor,A2,"Read the attached text about Canadian culture. Write an email to your friend who is coming to visit about what they should and shouldn’t do in Canada. Start the letter with ‘Dear friend, ‘."
6,Elementary,1,Movies and entertainment,Writing a movie plot,A2,Decide what happens to John and Isabella. Write the final part of the story for your friend.
6,Elementary,2,Getting there,Filling in an arrival card,A2,A week later you receive an email from your elderly aunt. She is flying abroad for the first time. Reply to her email and answer all her questions.
6,Elementary,3,Fashion and trends,Creating an office dress code,A2,You receive another email from the manager. Read the instructions and write a new dress code for the office.
6,Elementary,4,Finding a job,Writing a resume,A2,Read the information in the Internet job advertisement. Write your own personal résumé for the job.
6,Elementary,5,Personality profile,Writing on the family blog,A2,You’ve been asked to write on the family blog for other family members to read. Write a short description of some family members.
6,Elementary,6,Habits and addictions,Writing an email of advice,A2,You are an online counselor. Write an email to Polaris. Give her a plan to help her fight her shopping addiction.
6,Elementary,7,Going to a restaurant,Complaining about a meal,A2,"You just ate a very bad meal at a restaurant. Write a complaint in the complaints book. Follow the guidelines below. You ate a starter, a main course and dessert. You drank red wine and coffee. All of your meal was horrible. Describe what you ate and the bad taste."
6,Elementary,8,Networking,Rescheduling an appointment,A2,Your friend has sent you a voicemail. Unfortunately you are busy on Tuesday lunch time. Suggest an alternative. Use the correct future forms and describe the restaurant.
7,Intermediate,1,Rules and instructions,Giving instructions to play a game,B1,"You're working at a summer camp for children aged 8-12. You have been given instructions for three popular camp games, but they are a little too difficult for the kids to understand. Your task is to write simpler instructions for them."
7,Intermediate,2,Talking about the future,Planning for the future,B1,Now write your career plan for the next five years. Use the ideas from the career planning website.
7,Intermediate,3,Job interviews,Writing a job advertisement,B1,You are leaving your current job and need to find a suitable replacement. Write an online job advert for your position. Use the text to help you.
7,Intermediate,4, Experiences,Writing about a memorable experience,B1,Reply to Tim. Use the notes to help you write the email describing an interesting story from your past.
7,Intermediate,5,What's on TV?,Taking part in a TV viewing survey,B1,"Your friend sends you the survey results. How do the results, especially the ones for your demographic group, compare to your own viewing habits? Reply to Renee’s email telling her how they compare."
7,Intermediate,6,On the job training,Issuing a written warning,B1,"Write a formal letter of warning to James telling him what he has to do in order to improve. Begin your letter: Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve…"
7,Intermediate,7,Holiday experiences,Writing a letter of complaint,B1,"Help your friend write her letter of complaint. Include the following information: 1. Name of the travel company. 2. Outline the problems clearly. 3. Give specifics, comparing the ad with the experience of your friend."
7,Intermediate,8,Telling secrets,Posting comments on a celebrity forum,B1,"After your conversation with Emma, you decide to go on an online forum to read what other people are saying about Gavin Taylor. Read the thread and then add your own comments."
