headword,pos,CEFR,vocab_id,label
a,determiner,A1,VOC_a_A1,a
am,adverb,A1,VOC_amAMamAM_A1,a.m./A.M./am/AM
abandon,verb,B1,VOC_abandon_B1,abandon
abandoned,adjective,B2,VOC_abandoned_B2,abandoned
ability,noun,A2,VOC_ability_A2,ability
able,adjective,B1,VOC_able_B1,able
abnormal,adjective,B1,VOC_abnormal_B1,abnormal
abnormally,adverb,B2,VOC_abnormally_B2,abnormally
aboard,adverb,B1,VOC_aboard_B1,aboard
abolish,verb,B2,VOC_abolish_B2,abolish
aboriginal,adjective,B2,VOC_aboriginal_B2,aboriginal
aborigine,noun,B1,VOC_aborigine_B1,aborigine
about,adverb,A1,VOC_about_A1,about
about,preposition,A1,VOC_about_A1,about
above,adjective,B1,VOC_above_B1,above
above,adverb,A1,VOC_above_A1,above
above,preposition,A1,VOC_above_A1,above
abroad,adverb,A2,VOC_abroad_A2,abroad
abruptly,adverb,B2,VOC_abruptly_B2,abruptly
absence,noun,B1,VOC_absence_B1,absence
absent,adjective,B1,VOC_absent_B1,absent
absentee,noun,B2,VOC_absentee_B2,absentee
absolute,adjective,B1,VOC_absolute_B1,absolute
absolutely,adverb,B1,VOC_absolutely_B1,absolutely
absorb,verb,B1,VOC_absorb_B1,absorb
abstract,adjective,B1,VOC_abstract_B1,abstract
absurd,adjective,B2,VOC_absurd_B2,absurd
abundance,noun,B1,VOC_abundance_B1,abundance
abundant,adjective,B1,VOC_abundant_B1,abundant
abuse,noun,B2,VOC_abuse_B2,abuse
academic,adjective,B1,VOC_academic_B1,academic
academy,noun,B1,VOC_academy_B1,academy
accent,noun,B1,VOC_accent_B1,accent
accept,verb,A2,VOC_accept_A2,accept
acceptable,adjective,A2,VOC_acceptable_A2,acceptable
acceptance,noun,B1,VOC_acceptance_B1,acceptance
access,noun,B1,VOC_access_B1,access
access,verb,B2,VOC_access_B2,access
accessibility,noun,B2,VOC_accessibility_B2,accessibility
accessible,adjective,B1,VOC_accessible_B1,accessible
accessory,noun,B1,VOC_accessory_B1,accessory
accident,noun,A2,VOC_accident_A2,accident
accidental,adjective,B1,VOC_accidental_B1,accidental
accidentally,adverb,B1,VOC_accidentally_B1,accidentally
accommodation,noun,B2,VOC_accommodation_B2,accommodation
accompany,verb,B1,VOC_accompany_B1,accompany
accomplish,verb,B1,VOC_accomplish_B1,accomplish
according to,preposition,B1,VOC_accordingto_B1,according to
accordingly,adverb,B2,VOC_accordingly_B2,accordingly
account,noun,A2,VOC_account_A2,account
account,verb,B1,VOC_account_B1,account
accountant,noun,B1,VOC_accountant_B1,accountant
accumulate,verb,B2,VOC_accumulate_B2,accumulate
accuracy,noun,B1,VOC_accuracy_B1,accuracy
accurate,adjective,B1,VOC_accurate_B1,accurate
accurately,adverb,B1,VOC_accurately_B1,accurately
accusation,noun,B2,VOC_accusation_B2,accusation
